,Country/Territory,UN region,ForecastIMF,Forecast_year,World_bank_estimate,World_bank_year,CIA_estimate,CIA_year
235,Belgium,Europe,"6,27,511",2023,"5,78,604",2022,"5,94,104",2021
236,Argentina,Americas,"6,21,833",2023,"6,32,770",2022,"4,87,227",2021
237,Sweden,Europe,"5,97,110",2023,"5,85,939",2022,"6,35,664",2021
238,Ireland,Europe,"5,89,569",2023,"5,29,245",2022,"5,04,183",2021
239,Norway,Europe,"5,46,768",2023,"5,79,267",2022,"4,82,175",2021
240,Austria,Europe,"5,26,182",2023,"4,71,400",2022,"4,80,368",2021
241,Israel,Asia,"5,21,688",2023,"5,22,033",2022,"4,81,591",2021
242,Thailand,Asia,"5,12,193",2023,"4,95,341",2022,"5,05,982",2021
243,United Arab Emirates,Asia,"5,09,179",2023,"5,07,535",2022,"4,05,468",2021
244,Singapore,Asia,"4,97,347",2023,"4,66,789",2022,"3,96,992",2021
245,Bangladesh,Asia,"4,46,349",2023,"4,60,201",2022,"4,14,907",2021
246,Philippines,Asia,"4,35,675",2023,"4,04,284",2022,"3,94,086",2021
247,Vietnam,Asia,"4,33,356",2023,"4,08,802",2022,"3,66,138",2021
248,Malaysia,Asia,"4,30,895",2023,"4,06,306",2022,"3,72,702",2021
249,Denmark,Europe,"4,20,800",2023,"3,95,404",2022,"3,98,303",2021
250,Egypt,Africa,"3,98,397",2023,"4,76,748",2022,"4,25,906",2021
251,Nigeria,Africa,"3,90,002",2023,"4,77,386",2022,"4,30,923",2021
252,Hong Kong,Asia,"3,85,546",[n 5]2023,"3,59,839",2022,"3,69,174",2021
253,South Africa,Africa,"3,80,906",2023,"4,05,870",2022,"4,19,016",2021
254,Iran,Asia,"3,66,438",2023,"3,88,544",2022,"5,94,892",2021
255,Colombia,Americas,"3,63,835",2023,"3,43,939",2022,"3,14,464",2021
256,Romania,Europe,"3,50,414",2023,"3,01,262",2022,"2,84,086",2021
257,Chile,Americas,"3,44,400",2023,"3,01,025",2022,"3,17,059",2021
258,Pakistan,Asia,"3,40,636",2023,"3,76,533",2022,"3,42,501",2021
259,Czech Republic,Europe,"3,35,243",2023,"2,90,924",2022,"2,81,778",2021
260,Finland,Europe,"3,05,689",2023,"2,80,826",2022,"2,97,302",2021
261,Iraq,Asia,"2,97,695",2023,"2,64,182",2022,"2,04,004",2021
262,Portugal,Europe,"2,76,432",2023,"2,51,945",2022,"2,53,663",2021
263,Peru,Americas,"2,64,636",2023,"2,42,632",2022,"2,23,252",2021
264,Kazakhstan,Asia,"2,59,292",2023,"2,20,623",2022,"1,93,018",2021
265,New Zealand,Oceania,"2,49,415",2023,"2,47,234",2022,"2,50,451",2021
266,Greece,Europe,"2,42,385",2023,"2,19,066",2022,"2,14,874",2021
267,Qatar,Asia,"2,35,500",2023,"2,37,296",2022,"1,79,571",2021
268,Algeria,Africa,"2,24,107",2023,"1,91,913",2022,"1,63,473",2021
269,Hungary,Europe,"2,03,829",2023,"1,78,789",2022,"1,81,848",2021
270,Ukraine,Europe,"1,73,413",[n 6]2023,"1,60,503",[n 6]2022,"2,00,086",[n 6]2021
271,Kuwait,Asia,"1,59,687",2023,"1,84,558",2022,"1,36,642",2021
272,Ethiopia,Africa,"1,55,804",2023,"1,26,783",2022,"99,269",2021
273,Morocco,Africa,"1,47,343",2023,"1,34,182",2022,"1,42,867",[n 7]2021
274,Slovakia,Europe,"1,33,044",2023,"1,15,469",2022,"1,16,527",2021
275,Cuba,Americas,—,"6,33,442",2022,"1,26,694",2021,2021
276,Dominican Republic,Americas,"1,20,629",2023,"1,13,642",2022,"94,243",2021
277,Ecuador,Americas,"1,18,686",2023,"1,15,049",2022,"1,06,166",2021
278,Puerto Rico,Americas,"1,17,515",2023,"1,13,435",2022,"1,06,526",2021
279,Kenya,Africa,"1,12,749",2023,"1,13,420",2022,"1,10,347",2021
280,Oman,Asia,"1,08,282",2023,"1,14,667",2022,"88,192",2021
281,Bulgaria,Europe,"1,03,099",2023,"89,040",2022,"84,058",2021
282,Guatemala,Americas,"1,02,765",2023,"95,003",2022,"85,986",2021
283,Angola,Africa,"93,796",2023,"1,06,714",2022,"70,533",2021
284,Venezuela,Americas,"92,210",2023,—,"1,11,813",2021,2021
285,Uzbekistan,Asia,"90,392",2023,"80,392",2022,"69,239",2021
286,Luxembourg,Europe,"89,095",2023,"82,275",2022,"85,506",2021
287,Costa Rica,Americas,"85,590",2023,"68,381",2022,"64,282",2021
288,Tanzania,Africa,"84,033",2023,"75,709",2022,"70,297",[n 8]2021
289,Panama,Americas,"82,348",2023,"76,523",2022,"63,605",2021
290,Turkmenistan,Asia,"81,822",2023,—,"53,954",2021,2021
291,Croatia,Europe,"80,185",2023,"70,965",2022,"68,955",2021
292,Ivory Coast,Africa,"79,430",2023,"70,019",2022,"69,765",2021
293,Lithuania,Europe,"79,427",2023,"70,334",2022,"66,445",2021
294,Azerbaijan,Asia,"77,392",2023,"78,721",2022,"54,622",2021
295,Ghana,Africa,"76,628",2023,"72,839",2022,"79,083",2021
296,Uruguay,Americas,"76,244",2023,"71,177",2022,"59,318",2021
297,Serbia,Europe,"75,015",2023,"63,502",2022,"63,068",2021
298,Myanmar,Asia,"74,861",2023,"59,364",2022,"58,582",2021
299,Sri Lanka,Asia,—,"74,404",2022,"85,309",2021,2021
300,Belarus,Europe,"68,864",2023,"72,793",2022,"68,206",2021
301,Slovenia,Europe,"68,394",2023,"62,118",2022,"61,749",2021
302,DR Congo,Africa,"67,512",2023,"58,066",2022,"52,850",2021
303,Uganda,Africa,"52,390",2023,"45,559",2022,"42,661",2021
304,Tunisia,Africa,"51,271",2023,"46,665",2022,"46,687",2021
305,Jordan,Asia,"50,022",2023,"47,452",2022,"45,244",2021
306,Cameroon,Africa,"49,262",2023,"44,342",2022,"45,368",2021
307,Bolivia,Americas,"46,796",2023,"43,069",2022,"40,408",2021
308,Latvia,Europe,"46,668",2023,"41,154",2022,"39,854",2021
309,Bahrain,Asia,"44,994",2023,"44,391",2022,"38,869",2021
310,Paraguay,Americas,"44,142",2023,"41,722",2022,"40,458",2021
311,Estonia,Europe,"41,799",2023,"38,101",2022,"37,191",2021
312,Nepal,Asia,"41,339",2023,"40,828",2022,"36,207",2021
313,Libya,Africa,"40,194",2023,"45,752",2022,"39,006",2021
314,Macau,Asia,"38,480",[n 9]2023,"21,979",2022,"29,905",2021
315,Lebanon,Asia,—,—,"37,945",2021,NA,2021
316,El Salvador,Americas,"35,339",2023,"32,489",2022,"28,737",2021
317,Honduras,Americas,"33,992",2023,"31,718",2022,"28,489",2021
318,Zimbabwe,Africa,"32,424",2023,"20,678",2022,"24,118",2021
319,Cyprus,Asia,"32,032",[n 10]2023,"28,439",[n 10]2022,"28,408",[n 10]2021
320,Papua New Guinea,Oceania,"31,692",2023,"30,633",2022,"26,595",2021
321,Senegal,Africa,"31,141",2023,"27,684",2022,"27,625",2021
322,Cambodia,Asia,"30,943",2023,"29,957",2022,"26,669",2021
323,Iceland,Europe,"30,570",2023,"27,842",2022,"25,602",2021
324,Georgia,Asia,"30,023",[n 11]2023,"24,605",[n 11]2022,"18,696",[n 11]2021
325,Zambia,Africa,"29,536",2023,"29,784",2022,"21,313",2021
326,Trinidad and Tobago,Americas,"27,887",2023,"27,899",2022,"24,460",2021
327,Bosnia and Herzegovina,Europe,"26,945",2023,"24,528",2022,"23,365",2021
328,Haiti,Americas,"25,986",2023,"20,254",2022,"19,044",2021
329,Sudan,Africa,"25,569",2023,"51,662",2022,"35,867",2021
330,Armenia,Asia,"24,540",2023,"19,503",2022,"13,861",2021
331,Guinea,Africa,"23,205",2023,"21,228",2022,"16,036",2021
332,Albania,Europe,"23,032",2023,"18,882",2022,"18,260",2021
333,Mozambique,Africa,"21,936",2023,"17,851",2022,"15,777",2021
334,Mali,Africa,"21,309",2023,"18,827",2022,"19,157",2021
335,Yemen,Asia,"21,045",2023,—,"9,947",2021,2021
336,Burkina Faso,Africa,"20,785",2023,"18,885",2022,"19,738",2021
337,Botswana,Africa,"20,756",2023,"20,352",2022,"17,615",2021
338,Malta,Europe,"20,311",2023,"17,765",2022,"17,721",2021
339,Benin,Africa,"19,940",2023,"17,402",2022,"17,688",2021
340,Syria,Asia,—,—,"19,719",2021,NA,2021
341,Gabon,Africa,"19,319",2023,"21,072",2022,"18,521",2021
342,Palestine,Asia,"18,109",[n 12]2021,"19,112",[n 12]2022,"18,037",[n 13]2021
